Cell Line Name,CGAS,DDX19A,IFIH1,IKBKE,MAVS,PLAAT4,RIGI,STING1,TBK1,TRAF3,TRAF6
A2058,3.500802053057157,5.621172752683435,2.266036893995317,3.8972404255748,3.993674361750585,1.292781749227846,1.7180875839605168,4.34766565630097,4.853496703702325,3.9717734471933728,2.0669502439246266
A549,2.881664619320345,5.146899560343589,0.7484612330040357,2.6158870739160567,3.674686619927999,1.15704371014558,1.967168607532628,0.6870606883398922,5.463360885816658,3.8669079781431663,2.321928094887362
HEPG2,0.01435529297707,5.854245054220128,2.1731274334806563,1.925999418556223,4.339137384919585,0.2265085298086797,1.3617683594191536,1.5210507369009632,3.9231491804723087,2.6622054996536164,1.3785116232537298
CAL27,4.051372101721025,4.705425039042727,5.945092630539956,4.824258696603374,4.099295204337775,7.520029304212185,5.91528186586766,4.493775408460703,5.04176864995163,3.6016965164809576,4.316869805064333
HARA,3.921245888585589,5.70984201927331,2.3132458517875616,2.5360529002402097,4.3008558712687615,1.1375035237499351,1.765534746362977,4.368069876532083,5.015693807105145,3.972692654004264,4.69655030107857
HS294T,2.111031312388744,5.550900664647523,2.839959587489532,3.365972427593384,3.662205499653616,1.752748591407134,2.327687364176047,4.5855634984556914,5.165510018041353,3.584962500721156,1.8237493603082728
HUH7,0.918386234446348,5.683977106975602,0.6415460290875237,2.0461417816447205,4.552745936748446,0.5558161550616396,1.6644828403646823,1.0285691521967708,4.4535175792154975,3.729008870337863,1.807354922057604
SKLMS1,2.372952097911829,4.919816770052789,1.811471030529836,2.794935662803536,4.876271360550127,2.2720231890610485,2.1076878693143737,6.114991613333596,4.711494906650088,3.860962797858116,2.5310694927259543
MDAMB468,1.0426443374084935,4.900625332536066,4.471837762422287,4.071247819461443,4.247927513443585,8.406757737710706,2.927896453728821,5.579542224936903,4.276496665640356,3.097610796626422,3.669026765509631
MDST8,2.3673710656485296,5.172727518012845,0.925999418556223,4.907371413823563,4.976821852360685,1.144046369616707,1.459431618637297,2.1984941536390834,4.024142345897803,4.22573765346606,2.735522177296537
NCIH2170,2.794935662803536,5.50303064564116,2.606442228131608,2.575312330687437,4.228818690495881,0.5655971758542251,1.01435529297707,2.769771739249448,4.343407822297814,3.212569338850806,2.1473066987802936
OVISE,0.6690267655096305,5.100977647724821,3.187451054027326,1.967168607532628,4.176322772640463,9.662721774715868,3.321928094887362,1.831877241191673,3.942045259916047,3.643856189774725,2.097610796626422
PANC1,4.462052318796433,4.86195536414487,3.13586316536868,1.8678964639926547,3.648465443027314,2.144046369616707,3.752748591407134,3.3088850574117634,5.264911693074464,4.558879853475442,2.3978029618624896
SKHEP1,2.5285713188707577,4.980025300238734,2.7441610955704103,2.438292851579147,3.371558862611963,2.584962500721156,1.8439838440483265,2.280956313831056,4.7964939294258375,3.823749360308273,2.1473066987802936
SKMEL24,1.6182386555954549,5.55028504908841,2.7484612330040354,2.853995647176393,4.24412594328373,4.67072705449947,1.9297909977185967,5.360013042204331,4.79960542245267,3.4208865749755315,1.91456452349394
SKUT1,3.23112515787905,5.649902819893139,4.356143810225276,3.16349873228288,3.937344392150232,1.480265122054463,2.9011082430145123,1.769771739249448,5.010779838753242,4.523561956057013,2.6622054996536164
SUIT2,3.0250287944915226,5.35860724911781,1.5310694927259538,1.879705766282288,3.33771109212829,4.3348542693316325,1.4956951626240689,5.617944917420585,4.960697039304312,3.9541963103868754,2.114367024952
TE11,3.5459683691052923,4.49761236561836,2.39231742277876,3.6667565918848033,3.058316495590823,4.078951341394822,2.51096191927738,3.90977310414164,4.007195501404204,3.78345665436024,2.0531113364595623
TE5,3.297191416565856,4.774523529590232,4.007195501404204,2.9653225483672547,3.2141248053528475,3.879705766282288,3.424922088210688,4.806324057390029,4.223422549934937,2.548436624696042,2.017921907997262
THP1,4.303050084681673,5.116447935511657,2.655351828612554,4.36737106564853,3.218781167784069,1.7990873060740036,1.1890338243900171,7.988287038854139,4.514753498439753,4.19377174339668,2.3701642805402097
